User_Id,User_Favorites_Anime
Ktyurem,"1735, 6547, 4181, 30276"
fullmetal-ghoul,"5114, 11061, 1575, 19, 16498, 13601, 9253, 10087, 22297, 9539"
ToastyGhost,"35849, 8460"
BielDesu,"9989, 199, 431, 20"
I_exist,"1535, 21, 9989"
shadman0sakib,
tunaomi,
Osocoldd,"11757, 21, 235, 2904, 22199"
imPlutia,
cubekid,
Daru-sama,"9253, 20507, 877, 23273, 28977, 6746, 22297, 34382"
GiantRobotsRKool,"820, 237, 5114, 9253, 4177, 37435, 31433"
lemonenby,"13125, 23273, 21, 32, 30"
K_Carnival,"16592, 37779, 16498, 31478, 11741, 28701, 34973, 9253, 22319, 13601"
theblueleaf,"10165, 5114, 11757, 16498"
AnimeSpirits,"22297, 32281, 6702, 22043, 15451, 28171, 32282, 37210"
JoeD0831,"2001, 4565, 4107"
AbyssalLagiacrus,
Katsumi3,143
guych,"17729, 16782, 34822, 23847, 38000, 4181, 28891, 37972"
Revious,
Twin2,"16498, 1"
TheFlowingStream,"5114, 12979, 263, 13601, 30240, 3702"
bizarrequazar,"30, 11061, 28735, 35557, 37208, 33, 4081, 32995"
Denpahai,
rksy90,
garthol,"2966, 9253, 33255, 30307"
swamped,
Tamanegi_Flava,
Jamichael01,4477
thepieman35,"97, 263, 2605, 33, 32379"
Fideedle,"10165, 17074, 22789, 9289, 28891, 16782, 31646, 1, 918, 23273"
caoszeta,1210
Makisism,"2001, 18679, 5114, 227, 5081, 9253"
Microbot2,"578, 478, 20, 1498, 2418"
KSMOOVEY,"44, 2418, 9253, 5682, 5630"
LuxuriousHeart,
kc2dpt,"5355, 2001"
Kenshi_Mitsurugi,
flapjack48,"5114, 9253, 10278, 6702, 10087, 1, 6746, 23273, 20507, 15051"
KHobbits,"4181, 1575, 918, 467, 2924"
Grunkalunka,
Panda_Hero-chan,
LegioXEquistris,
HM-Rubick,"13125, 2966, 17074, 11665, 16498, 5341, 6594, 33255, 28851, 32282"
Leafyone,"102, 35839, 34148"
odinex,"4975, 47, 245, 59, 270"
SuperJ728,"15227, 5114, 30, 7311, 28851"
Sick_Bastard,"1453, 967, 80, 30, 820"
holdenn,"21, 1535, 2251"
supermoose,"253, 2321, 323"
JustinL,"9253, 16498, 1575, 1818, 1535, 33352, 2966, 23273, 12445, 6747"
dethguy1,"11061, 30"
KaoSouL,"967, 777, 10087, 11061, 14719"
Dragon,"136, 28497, 1575, 8624, 16592, 11061, 9941, 9253, 14813, 18897"
MewMew42Pudding,
BuddhaDom,"18679, 9253, 34599, 28621, 13125"
Roaringlion,"11997, 10620"
Xeryxoz,
Yaoitory,"3040, 6033, 1565, 4334, 1735, 23755, 33489, 30694"
Presmerga,"226, 7724, 384, 13125, 3342"
Panrio,"22319, 11061, 22729"
TheoSenpaii,"37349, 35968, 33352, 23273, 35062, 6547, 32937, 30831, 10165, 11061"
SomeDeadGuy,
Goldenugget,"34599, 9253"
Degr33s,"1887, 5114, 31964, 28851, 30831, 437, 268, 3455, 263, 30"
Inesu,
KaosReigns,"1831, 164"
Attee,
momentsring,"9253, 9989, 33489, 5114, 24997, 23273, 4181, 30484"
CosmicAngelForce,"6702, 232, 2923, 527, 3588"
Andreikun,"30, 11979, 33028, 22297, 10087, 9756, 22199, 10620"
GRASSCIA,"400, 24893, 43, 81, 2581, 731, 127, 58, 47, 1583"
Arpit,"1575, 30276, 21, 31240, 11617, 11061, 11757, 1565"
FrauBow,
S2_Engine,38003
wolfie157,"269, 249, 530, 2001, 4224"
TownNeedsGuns,
Elerox,"5081, 23273, 35849"
Vluddipijjun,820
ImNotPopular,"14719, 20899"
Kman123,
kickmesign,"3572, 5341, 392, 10357, 10165, 31500"
Rahkshilord,"2001, 168, 820, 14719, 35120, 13601, 22535, 227, 2581, 22297"
IlaicaBunny606,"21273, 9989, 23273, 12189, 30503, 20507, 31240, 31765, 30654, 10408"
absolutesword666,"24991, 33674, 19815, 28063, 31765, 16099, 20021, 21881, 11757"
dokudoku,
Marcusthemad,
Emovation,"1575, 22, 815, 5060, 2904"
fanimanga,"19365, 478, 75, 8098, 2002, 15863, 5040, 15751, 9834, 27727"
lucariofan101,"269, 1195, 6324, 8074, 1575"
aninan,"813, 21, 16498, 1575, 7674"
superhours,"11061, 57"
monstaxrdis,30346
Elena_Yay,
mikachanP,"1575, 2904, 5081, 16668, 18295, 486, 36649, 35839, 10721, 8915"
PartyPooper30,
princesssinon,"20583, 24415, 3588, 21881, 26213, 10620, 24997, 8129, 20507, 226"
Illustration,"11759, 9253, 10793, 5114, 32"
VampBecca,"33362, 37571, 10721, 34552, 30016"
Sylven,"4654, 10620, 164, 28851, 27775"
Credulous,"1210, 2001, 11061"
Aerius,"1575, 2904"
neko_cola,"28735, 13601, 223, 14719"
terriakijerky,"3604, 1210, 30, 9253, 9756, 18679"
CR0ZYPENGU1N,"6547, 5958, 21881, 11757, 11759"
shino_usagii,
Papatanasis,"31964, 3588, 22043, 28171, 18679, 2001, 36896"
EmeraldTulips,"31051, 18507, 20583, 27947, 21, 6702, 4087, 1, 12445, 877"
therealpatrick,205
Kyo843,"263, 1698, 2001"
ice2365,
noiryori,"9989, 356, 1689, 355, 1691"
jbwrestler0218,
sandywonka,
anhilatetarget,
ryshin,"4181, 5941, 3297, 1735"
Yor0zuya1,"28977, 1535"
jacobspeeds,
13deadman,
tsz,
Drakedogma,
Neve,"1729, 3297, 877, 3549, 5177"
maiwaifuu,
Alexdoc16,"2993, 6707, 4898, 1535, 3588"
Umud_Kun,"37675, 32281"
paveljanik,
mbrownie15,"22535, 22319, 777, 2025, 5682"
CreamyRick,"30, 227, 37510, 7785, 32979, 35557, 28851, 5681, 21603"
confuciusdragon,"32686, 9253, 47, 26, 28171"
ToastyPeks,
Itsahme,13125
Index1,"35180, 4181, 3297, 34599, 12189, 27989, 9253"
BallistahTC,"14719, 5081, 5114, 9253, 777, 13601, 1575, 22535, 4181, 11061"
vault2049,"12431, 28851, 11061, 5081, 3297"
RauLeCreuset,"36027, 384, 889, 2167, 59, 85, 80, 267, 93, 392"
KingHildebrandt,"11617, 8074, 5060, 5958, 8407"
Cleit68,
LordofAnnoyence,"5114, 1535, 4224, 21, 853"
MisterGimmick,"5040, 14811, 14227"
MegaFire800,"35790, 7785, 2251, 23321, 14719, 17265"
Sailor789,"603, 37779, 151, 9756, 5060, 7645, 530, 6547, 36904, 18679"
nigmax,1535
TheBishList,"7054, 4224, 853"
ProtectRika,"35677, 31771, 35848, 32214, 158, 18679, 9874, 36990, 387"
126GeV,"1, 320, 227, 5114, 9253, 32, 1796, 207, 258"
12sed,"30, 16201, 22135"
greendoodle,"20583, 5114, 11771, 853, 9989, 16498"
lupin1500,"1412, 1735, 20"
futanaripeen,"437, 877, 323, 232, 23283, 13601, 31043, 31964, 7674, 17895"
UsaraDark,"9756, 9253, 10165, 18679, 17549"
AmbiguousMonster,"44, 5114, 11741, 32, 1, 9253, 457, 790, 28735, 1827"
chyeah4lyff,
webM-guy,"7311, 32615, 9756, 5081, 18679, 23273, 25731, 30276, 31240, 813"
Aniwatcher154,
vicious357,"1887, 849, 226, 934, 1530"
AndyBR9,"1535, 5114, 26, 22135, 1"
eragon1man,"23273, 9253"
Heleir,"33206, 20057, 23327, 37450, 28297, 35788, 31240, 10162, 18897"
doobdood,"23273, 4181, 13759"
Broken_Serenity,"20, 6347, 10620, 11111, 28999"
game8910,"33354, 34798"
raph589,"10087, 11061, 237, 14719, 5081, 918, 23273, 9253, 205"
sablepatch,"1145, 202, 1498, 486, 457"
ughno,"199, 853, 16742"
yoshihiro56,"4181, 2167"
Holysmack,"2904, 263, 44, 2001, 177"
nemonekko,"853, 6547, 9253, 11887, 9919"
Sasunaru4life,"30, 2354, 36267, 635, 35076, 20899, 199, 229, 1735, 20"
Sledge260,"2251, 2001, 19703, 6114, 28735, 10165, 9253, 18153, 11741, 33051"
Alice389,
Schlopsi,"156, 32995, 272, 16498, 953, 270, 13349, 3091"
peanutsponge,"31240, 7724, 9253, 777, 59, 1575, 30240, 5958, 4063, 3455"
rogueandtasty,"13759, 37450, 30727, 22147, 23847, 18897"
The_Defended,35972
Thanh-kun,"14813, 13759, 10793, 6547"
FairyFreak101,"6702, 21, 14467, 18115, 15315, 30503, 28891, 22043"
Zerou-sama,"1575, 2904"
kumquat123,"11061, 9253, 11757, 8841, 4224"
Zeppiey,877
sousukeyamazaki,"20507, 30503, 22297, 37450, 17074, 35851, 22265, 9756, 9989"
SpartanIceX,"5114, 14813, 23847, 4181, 50, 263"
aloadofbooks12,"19815, 30240, 16498, 8516, 199, 4654, 849, 4382, 1735, 18679, 9756, 8937, 7311, 20507, 8557, 23755, 3588, 2104, 2403"
animegorey,"967, 777, 33, 543, 617"
temchan,"851, 20507, 11499, 31174, 18153, 8841, 22535, 11013, 5081, 918"
necrojesta,"4181, 5114, 19, 1535, 1210"
withered_fairy,"1239, 996, 1, 6, 790"
thresholden,"10800, 7311, 72, 3167, 770"
BRS_Project,"6547, 9362, 8277, 10119, 8675"
mycrosparks69,"9253, 16498, 226, 6746"
Kaani,"20, 1735"
luna56,"317, 4224, 3712, 1195, 5262"
Aurum_Oedipus,
MisfortuneMagnet,"4181, 2001, 9253, 22535, 2904"
Hiei312,
sjsheying,31566
jagger2313,"239, 2251, 45, 1535, 96"
HangJarrel,"81, 80"
citizen169,"1575, 9253, 9756, 16498, 2001, 34599, 17265, 19775, 918, 5114"
robetet,
hayate_orange,"8676, 7791, 2787, 5521, 4192"
jubzlol,
SparkleHeartache,"530, 721, 237, 4224, 30"
HelloMari,"11061, 5114, 918, 9756, 31933, 2001, 30, 28223, 9989, 18679"
fukak,"7054, 6746, 228, 2167, 853"
Veg2Fruit,"30, 32, 18679, 35849"
PanRysownik,"36884, 34599, 32182, 512, 199, 135, 22135, 464, 32013, 31540"
Gun2275,
super88,"18893, 9253, 19, 226, 1818"
RedEssence5,"3785, 38000, 31240, 22535, 3784, 2759, 32, 30"
ErTraffik,"11061, 2904, 1575, 28223, 13601"
RecNastee,"6, 4181, 6347, 8525, 15809"
GOD984,"27775, 31043, 28999, 23273"
zeexdoom,"1535, 1575, 2251, 849, 1889"
ainilome,"71, 199, 467, 1887, 66"
bellellis,"32, 1689, 4282"
Clovervirgo,"9253, 199, 4224, 512, 7674, 33255, 7054, 853, 427, 8129"
AnimeRuS,"6351, 9253, 5114, 849"
Eartheaven,"8795, 10012, 534, 13125, 11981, 2593, 12413, 5081, 18679"
ZeonicFreak,
BowFlamer,
Pockers,"13125, 34599"
StrawHatSaitama,"32281, 22147, 21, 30276"
Snufkin,"6, 33, 37991, 387, 26, 19, 285, 570, 2150, 3342"
Da_Nuke,"379, 109, 2001, 339, 935"
Coldsp33d,"9253, 1535, 23273, 245, 9989, 16498, 22789, 4224, 934, 877"
xiansantos,"145, 1088, 572, 617, 2001, 10029"
femalegoblin,"20057, 12815, 14719, 10721, 12431"
Ingigo,
Cynisis,
shysaviorkun,"1575, 30276, 1210, 34599, 30831"
G66XD66,"9756, 516, 18679"
thinkingnut,
TerpsichoreNymph,16067
braquiador,"245, 47, 2904, 9989, 34599, 777, 38524, 37521, 23847, 1604"
arvincom,"28617, 9055, 5670, 4181, 31339, 10232, 962"
Ero-Cook,"1818, 2159, 4224"
shinyslowqueen,
13BBeyond13,
vgcat123,"11111, 66, 11079, 8557, 1887"
ChompxChain,
gametime,
mvpshawol,
Cheespuffs,6
KAIDOU-P,"22123, 19429, 4550, 5914"
decimer,
shadowofeve,"8425, 23283, 22319, 10161, 16201, 23251, 10408, 35062"
Bookworm192,
furballphillip,
Ninsz,"355, 1482, 1887, 2787, 7054"
RilakkuLina,"5118, 66, 2167, 228, 5114, 30437"
NightKiss,11759
bloodysirens,"121, 4898, 5060, 2167"
Deep,"20785, 228, 21, 17265, 136"
eraki,"2034, 269, 1735, 1222, 877"
Jayko,"849, 6547, 5958, 934, 2904"
vannad1,"356, 1915, 1974, 322, 877"
Mega_Potion,"20, 1"
Thirst122,"853, 13349, 2034, 199, 5114, 4722, 4181, 2167"
aro_s,"14719, 527, 28851, 20583, 31964, 16498, 11061"
E_Hive_Anime,"477, 962, 3297, 263, 11061"
AkumaNoSaigi1,"1535, 2001, 4224"
KamiNoHikari,"4898, 11771, 22, 4081, 14513"
BigSips,"25731, 790, 658, 34798, 9756, 33674"
RockoDyne,"474, 8934, 416, 218, 5781, 227, 1575"
Trivek42,"31240, 11061, 30654, 6746, 17074, 23273, 14813, 856, 9289, 32281"
Diegop0113,"25157, 18679, 33, 28621, 13601, 13125, 889, 25183, 31442"
WorldWarGames,"28907, 6746, 32686, 6547, 20709, 12413, 8769, 14131, 21273"
babykiwi,"1210, 5039, 6645"
veenadaiya,"18689, 20507, 28999, 28851, 37779, 20583, 23283, 25183, 5114, 6746"
SuperbJonin,"1575, 9253, 2001, 23273, 205, 12189"
theawkwardone,"4224, 16498, 16706, 10080, 8525, 15451, 11617"
geniogege,"28171, 22199, 19815, 18679, 35838, 30240, 29786, 30276"
Extrieve,"240, 28735, 25835, 31988, 7785"
MONKEY_D_NARUTO,
misericord,"16201, 47, 339, 437, 3701"
LethalBlackLotus,"21511, 8861, 17895, 4224"
Mikellangelo,
goldandfizzy,"20, 269, 5525"
Xenofrox,
Kurancest,"9656, 8129, 1689, 3731, 1222"
Gremshula,"850, 149, 59, 853, 1943"
